article_id_1,article_id_2,count
590414002,622964004,4
551045045,562245098,2
520427006,783417001,2
189634001,787558001,5
772902001,876053003,90
767090001,774666003,2
733098013,774666003,6
726165002,853545001,2
519512002,853545001,2
733098013,853545001,8
732534001,783388001,4
732534001,732811001,2
732811001,783388001,2
189634001,849257001,10
685814023,788298001,5
752814004,774543005,6
662084001,839673001,3
564787001,671800001,6
639976002,812218001,3
796210010,812218001,9
537688010,796210010,37
537688010,812218001,4
653188016,711193001,2
629764002,711193001,8
552826024,826203001,4
539197011,552826024,10
552826024,691579001,6
552826024,832361001,8
539197011,826203001,2
691579001,826203001,2
826203001,832361001,51
539197011,691579001,2
539197011,832361001,10
691579001,832361001,3
791132001,830770001,12
732534001,830770001,2
732534001,791132001,5
475791038,827349001,2
671777034,827349001,2
671777034,817067001,2
678983008,691855003,6
729015004,925404001,2
729015004,832166002,2
726199002,729015004,3
729015004,851400004,2
832166002,925404001,2
726199002,925404001,3
851400004,925404001,7
769748013,925404001,3
597035001,711074004,3
597035001,726199002,2
597035001,851400004,3
597035001,769748013,2
686895001,832166002,2
589520007,686895001,4
726199002,832166002,2
832166002,851400004,5
769748013,832166002,4
769748013,851400004,2
537688010,849257001,2
226959008,537688010,8
325087018,665481010,2
665481010,746329001,6
630326001,665481010,3
325087018,746329001,6
630326001,746329001,2
744910001,851142001,2
509091022,594987002,3
594987002,603145014,11
594987002,752667002,3
509091022,603145014,2
458239001,772349009,26
568838009,732364004,2
568838009,640605005,11
638228002,693485002,2
599718002,693485002,3
599718002,638228002,11
678692006,704451001,4
678692006,796210010,6
704451001,796210010,8
673396001,714189001,4
706371001,714189001,5
599718002,714189001,6
673396001,706371001,5
599718002,673396001,2
599718002,706371001,5
689389018,851400004,5
594987002,755908005,6
589818007,594987002,5
696209005,783388001,5
701735009,730683012,2
357792011,737134001,11
707381001,732534001,2
691579001,732534001,3
730683019,766826002,3
733098013,755304001,2
399223025,844059001,15
765865001,871672001,2
599718002,871672001,2
775996014,853545001,2
689389033,746168003,13
594987002,859736002,5
516712001,648649001,2
399223025,516712001,15
512251003,516712001,114
399223025,512251003,14
689389033,844059001,22
684325001,721609001,7
673771003,851142001,2
662084001,750330003,2
525518005,749699011,8
512251003,714189001,8
756192002,797710002,4
189634001,797710002,7
189634001,756192002,9
325087018,634009011,3
534357002,573716072,8
534357002,721762001,9
573716072,721762001,12
560389002,636140003,4
636140003,753237011,10
636140003,848358004,3
189634001,636140003,25
516712001,636140003,26
560389002,753237011,3
560389002,848358004,3
189634001,560389002,23
516712001,560389002,5
753237011,848358004,3
189634001,753237011,13
516712001,753237011,14
189634001,848358004,5
189634001,691579001,3
516712001,691579001,8
189634001,516712001,83
700935001,751942001,5
537688010,751942001,4
537688010,700935001,11
825200002,876053003,10
509091023,876053003,4
553139001,876053003,15
509091023,553139001,3
688105007,719209001,35
701738003,743562002,6
701738003,767699001,3
695857002,701738003,4
701738003,804661001,4
743562002,767699001,3
695857002,743562002,2
743562002,804661001,5
695857002,767699001,3
767699001,804661001,2
695857002,804661001,3
637661002,854193004,5
796210010,814634001,9
754238019,780188001,3
755566001,772902001,31
691855012,802273002,3
636140003,710056010,4
512251003,636140003,28
512251003,710056010,5
680262018,700367005,169
372008001,570004078,5
673396001,749968003,3
810172005,810172015,26
596472002,705258013,3
705258013,753237011,2
596472002,753237011,2
681178007,753237011,3
560389002,594987002,24
732811001,832361001,8
719084002,798579002,13
657155001,719084002,2
719084002,767090001,3
767090001,798579002,13
634426005,827349001,3
372008001,540701008,12
751942001,860260001,4
855076001,860260001,2
301227002,798579002,15
301227002,573716005,18
573716005,798579002,19
592291009,798579002,3
689365002,753210002,3
689365002,726578003,2
726578003,753210002,2
673396014,700935001,3
564787001,700935001,7
719084002,755604001,11
677809004,775996014,2
711193001,840203001,4
840203001,865142001,2
755604001,840203001,2
748566031,840203001,10
680262018,840203001,21
711193001,755604001,3
711193001,748566031,6
680262018,711193001,3
755604001,865142001,2
748566031,865142001,5
680262018,865142001,6
748566031,755604001,2
680262018,755604001,6
680262018,748566031,10
506098016,887653002,5
729928018,825811002,7
428291001,710438001,3
710438001,832361001,7
710438001,758513001,4
428291001,695632033,19
695632033,832361001,16
695632033,758513001,9
428291001,832361001,41
428291001,758513001,7
758513001,832361001,15
372008001,784922002,19
215303005,594987002,5
639685006,815238002,2
568838009,573716005,35
678692006,801512001,6
848307002,878096003,2
529012025,594978005,2
529012025,753210002,4
594978005,753210002,3
458239001,860260001,2
458239001,736102001,3
189634001,643642002,2
189634001,482207013,4
594987002,598515018,29
764838002,774666003,8
737543002,783388001,2
677932002,783388001,3
703050001,783388001,2
611378001,783388001,3
783388001,815264001,11
611378001,737543002,5
677932002,703050001,2
611378001,677932002,7
677932002,815264001,3
611378001,703050001,2
703050001,815264001,2
611378001,815264001,5
607347010,686919005,4
724301006,772902001,3
761323002,772902001,23
825811002,887653002,5
630714009,825811002,2
630714009,887653002,2
458239001,841434002,68
525518005,721762001,8
650677004,651456013,3
722179002,727347005,5
664074037,727347005,3
714807003,768947001,19
768947001,797710002,6
714807003,797710002,8
473507001,573716005,14
714807003,742400040,2
757303014,907188001,5
564787001,757303014,9
564787001,907188001,4
640745005,853545001,4
734273003,853545001,9
640745005,734273003,23
618800009,815264007,3
573716005,815264007,6
737543002,815264007,2
573716005,737543002,3
626168001,764895002,2
399061008,850359001,8
399061008,640745005,5
640745005,850359001,2
573716072,674071001,5
301227002,841238002,5
301227002,787880001,10
787880001,841238002,4
704451001,841434002,5
772902001,832361001,104
772902001,844059001,79
189634001,772902001,107
832361001,844059001,41
189634001,832361001,32
189634001,844059001,17
392269007,756405002,2
636140003,729015004,2
636140003,662592002,6
662592002,729015004,2
512251003,713578001,3
512251003,796210010,39
512251003,554541003,3
512251003,692632001,17
692632001,783417001,4
512251003,617245002,6
512251003,783417001,8
617245002,783417001,3
554792001,803969008,4
671777034,794468003,2
691855012,772902001,40
581103001,581103002,4
189634001,537688010,43
537688010,655347006,6
189634001,655347006,5
655347006,860867002,3
655347006,680262018,14
655347006,733098013,4
537688010,860867002,8
537688010,680262018,13
537688010,733098013,8
189634001,860867002,7
189634001,680262018,10
189634001,733098013,15
680262018,860867002,5
733098013,860867002,6
680262018,733098013,7
772902001,793685001,2
772902001,832166002,6
772902001,796610001,4
734273003,887770003,4
665851004,794468003,2
758513001,794468003,2
665851004,758513001,2
700935001,842605004,2
699924001,740412001,3
474461002,849257001,3
643193003,719523010,2
458239001,884319002,5
564787014,789235001,3
691855012,789235001,4
564787014,691855012,5
727347005,842605004,6
727347005,776850003,2
824706001,842605004,4
796210010,832361001,70
592709002,692632001,3
573716072,809521001,7
564787001,809521001,3
369796032,809521001,2
573716072,655347006,3
564787001,655347006,21
369796032,655347006,2
564787001,573716072,8
369796032,573716072,7
369796032,564787001,5
832361001,859622001,3
691855012,719209001,15
680262018,817095001,2
575141005,680262018,4
680262018,752039002,2
575141005,752039002,3
668879001,848523001,2
653188018,746168003,3
637661002,746168003,9
637661002,653188018,3
584483003,841434002,8
512251003,584483003,8
458239001,584483003,8
512251003,841434002,54
458239001,512251003,63
711649004,787880001,2
807795001,888732003,2
752814004,832481001,14
301227002,399061008,30
301227002,491913001,4
399061008,491913001,3
832361001,923070001,2
807329002,825200002,15
525518005,702292001,6
702292001,887653002,2
525518005,703279001,3
525518005,887653002,7
525518005,534357002,36
534357002,719209001,15
525518005,719209001,8
529012025,687173004,34
772899001,788298001,22
706371001,788298001,4
706371001,772899001,4
658517001,798579002,3
803969008,865888002,5
189634001,796210010,47
671852004,797710002,8
772902001,807241012,9
798579002,878629002,3
749699011,774148003,19
630714009,655567002,3
630714009,847100004,2
428291001,630714009,7
428291001,774714002,2
428291001,847100004,2
562245098,755566001,2
458882004,616849012,7
733098013,832361001,28
689389033,772902001,29
458239001,772902001,57
458239001,689389033,24
515692001,701738003,2
554792001,772902001,57
715474001,768947001,7
697649001,768947001,4
534357002,674047003,6
674047003,858880001,4
534357002,594987002,16
534357002,708977002,3
534357002,783440004,7
594987002,708977002,2
594987002,783440004,5
237222012,581275009,4
534357002,581275009,11
581275009,719209001,6
581275009,825200002,3
581275009,772899001,10
237222012,534357002,11
237222012,719209001,4
237222012,825200002,2
237222012,772899001,4
534357002,825200002,3
534357002,772899001,13
719209001,825200002,2
719209001,772899001,19
772899001,825200002,5
691855012,844059001,29
651334005,691855012,2
651334005,844059001,6
392269007,516712001,4
516712001,785416003,2
496159009,516712001,2
654590002,710854001,5
743905001,788298001,2
616849012,716153002,2
854356006,876053003,2
784922002,876053003,6
746261002,832361001,2
738899005,855076001,2
738899005,832361001,11
369796032,738899005,2
738899005,820671001,3
832361001,855076001,8
369796032,855076001,2
820671001,855076001,3
369796032,832361001,7
820671001,832361001,13
369796032,820671001,2
761204001,807093001,5
599718002,807093001,2
599718002,761204001,2
761204001,872266001,2
599718002,858880001,5
525518005,714807003,15
719209001,851317003,8
700935001,844059001,15
700935001,772902001,28
665481010,859622001,7
568838009,825811002,3
525518005,568838009,12
525518005,825811002,8
512251003,744910001,6
512251003,826203001,11
744910001,826203001,3
301227002,766439003,6
653188016,653188018,12
617249034,653188018,2
512251003,772902001,61
301227002,772902001,32
399061008,772902001,51
301227002,512251003,20
399061008,512251003,24
878629002,882900013,2
878629002,898596002,2
564787001,878629002,3
715606003,832361001,6
715606003,832481001,4
832361001,832481001,50
570003040,589818007,4
564787014,868283001,8
832361001,868283001,13
564787014,832361001,18
564787014,774543005,4
774543005,832361001,4
702292001,844059001,7
701735009,844059001,12
678983008,748566030,7
678983008,816598004,2
820357001,907188001,7
611378001,788298001,4
568601018,752814004,5
568597018,568601018,202
568597018,752814004,14
720125002,859318001,3
766274001,859318001,3
390512018,720125002,3
390512018,766274001,2
691855012,787880001,7
787880001,909920001,2
632307011,775624002,3
372576017,594987002,4
594987002,772902001,59
372576017,772902001,3
564787001,771774002,6
618800009,771774002,5
564787001,618800009,8
560393004,671800001,2
618800009,783388001,2
673771003,746168003,3
706371001,865142001,2
699341001,706371001,2
701738003,706371001,7
720125002,840203001,8
748566030,842605004,4
791787001,840203001,2
815264007,840203001,2
707361002,791787001,2
707307001,707361002,2
573716072,876053003,22
711649004,876053003,6
769748006,876053003,6
506098016,876053003,9
573716072,711649004,2
506098016,573716072,8
506098016,711649004,4
506098016,769748006,3
610611011,692833001,4
655347006,798407001,2
516712001,736923009,7
516712001,802273002,10
516712001,525518005,15
