article_id,product_type_name,graphical_appearance_no,product_code,prod_name,product_type_no,product_group_name,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
623282005,Trousers,1010016,623282,MOLKO Treggings,272,Garment Lower body,Solid,43,Dark Red,4,Dark,18,Red,7617,Kids Girl Trouser,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1009,Trousers,Treggings in stretch twill with an elasticated waist and fake front pockets.
623282003,Trousers,1010016,623282,MOLKO Treggings,272,Garment Lower body,Solid,22,Yellow,7,Medium,8,Yellow,7617,Kids Girl Trouser,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1009,Trousers,Treggings in stretch twill with an elasticated waist and fake front pockets.
578553004,Trousers,1010026,578553,Dave trouser,272,Garment Lower body,Other structure,8,Dark Grey,4,Dark,12,Grey,6565,Baby Boy Woven,G,Baby Sizes 50-98,4,Baby/Children,41,Baby Boy,1006,Woven/Jersey/Knitted mix Baby,"Pull-on trousers in stretch cotton twill with an elasticated drawstring waist, fake fly, fake front pockets, one fake back pocket and elasticated hems."
701203001,Trousers,1010016,701203,Dumbledore velvet 5pkt,272,Garment Lower body,Solid,73,Dark Blue,4,Dark,2,Blue,1710,Trouser,A,Ladieswear,1,Ladieswear,6,Womens Casual,1009,Trousers,"5-pocket trousers in stretch cotton velvet with a regular waist, zip fly and button, and slim legs."
550888009,Trousers,1010016,550888,Chris Cargo (1) (1),272,Garment Lower body,Solid,73,Dark Blue,4,Dark,2,Blue,5656,Trouser,F,Menswear,3,Menswear,21,Contemporary Casual,1009,Trousers,"Stretch cotton twill cargo joggers in a relaxed fit with a zip fly and button and slightly lower crotch. Side pockets, back pockets and leg pockets with a flap and press-stud, and tapered legs with elasticated hems."
326885022,Trousers,1010016,326885,MAX jersey pants SB,272,Garment Lower body,Solid,73,Dark Blue,4,Dark,2,Blue,7668,Kids Boy Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,72,Boys Underwear & Basics,1002,Jersey Basic,"Joggers in lightweight jersey made from a cotton blend with a ribbed, elasticated waistband, pockets in the side seams and ribbed hems. The cotton content of the joggers is organic."
820499002,Trousers,1010016,820499,Leonie Flare,272,Garment Lower body,Solid,52,Pink,2,Medium Dusty,4,Pink,7617,Kids Girl Trouser,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1009,Trousers,"Trousers in stretch twill with an adjustable, elasticated waist, zip fly, heart-shaped front pockets, back pockets and flared hems."
501117005,Trousers,1010016,501117,Visby stretch,272,Garment Lower body,Solid,43,Dark Red,4,Dark,18,Red,7656,Kids Boy Trouser,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1009,Trousers,5-pocket stretch cotton twill trousers in a relaxed fit with an adjustable elasticated waist and zip fly with a button.
695182004,Trousers,1010001,695182,BRISSIE JOGGER TP,272,Garment Lower body,All over pattern,73,Dark Blue,4,Dark,2,Blue,7648,Kids Boy Jersey Fancy,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1005,Jersey Fancy,"Slim-fit trousers in soft, printed sweatshirt fabric made from a cotton blend with an elasticated drawstring waist, pockets in the side seams and tapered legs with ribbed hems."
694499001,Trousers,1010001,694499,Supreme Fancy,272,Garment Lower body,All over pattern,9,Black,4,Dark,5,Black,6281,Bottoms Girls,S,Sport,26,Sport,49,Kids Sports,1001,Unknown,Sports tights in fast-drying functional fabric with a waistband.
745550002,Trousers,1010018,745550,Verity dungeree,272,Garment Lower body,Treatment,9,Black,4,Dark,5,Black,8717,Young Girl Trouser,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1009,Trousers,"Dungarees in washed, stretch twill with buttons at the top and adjustable straps with a press-stud fastening. Side pockets, back pockets and tapered legs."
403844007,Trousers,1010016,403844,Montana pants,272,Garment Lower body,Solid,9,Black,4,Dark,5,Black,8559,Men Sport Woven,S,Sport,26,Sport,22,Men H&M Sport,1005,Jersey Fancy,"Sports trousers in sweatshirt fabric with elastication and a concealed drawstring at the waist. Zipped side pockets, a mesh section at the crotch and wide ribbing at the hems."
520628004,Trousers,1010010,520628,Joggers (Freddie update),272,Garment Lower body,Melange,6,Light Grey,1,Dusty Light,12,Grey,1660,Jersey,A,Ladieswear,1,Ladieswear,6,Womens Casual,1005,Jersey Fancy,"Joggers in marled sweatshirt fabric with an elasticated drawstring waist, side pockets and tapered legs with ribbed hems."
721427005,Trousers,1010016,721427,Parrot dressed,272,Garment Lower body,Solid,73,Dark Blue,2,Medium Dusty,2,Blue,1717,Trouser,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1009,Trousers,"Ankle-length trousers in woven fabric with a high waist, concealed hook-and-eye fastener and zip fly. Side pockets and straight legs with creases."
865033001,Trousers,1010016,865033,Malcolm 5-pkt slim fit TP,272,Garment Lower body,Solid,9,Black,4,Dark,5,Black,8756,Young Boy Trouser,I,Children Sizes 134-170,4,Baby/Children,47,Young Boy,1009,Trousers,"5-pocket slim-fit trousers in washed, stretch cotton twill with an adjustable, elasticated waist, zip fly and button."
